bedrooms,built,createDate,energyColor,energyLabel,finnkode,isSold,lastUpdated,latitude,longitude,ownership,postNumber,primaryRoom,propertyType,rooms,totalPrice,usableArea
3,,2023-04-11T10:11:42.379+02:00,,,298325526,False,2023-09-23T21:40:25.192+02:00,63.7894036908523,11.4817351941749,Andel,7650,96,Leilighet,4,5452270,100
2,,2023-04-11T13:19:04.514+02:00,,,298351878,False,2023-11-08T10:29:40.666+01:00,63.7841923026372,11.4917850494385,Andel,7654,75,Leilighet,3,4951225,78
2,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,True,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,55,Leilighet,3,6651640,55
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,True,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,51,Leilighet,2,5151640,51
4,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,True,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,101,Leilighet,5,9481640,101
3,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,102,Leilighet,4,9697746,102
4,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,101,Leilighet,5,10197544,101
2,,2023-04-11T13:19:04.514+02:00,,,298351878,False,2023-11-08T10:29:40.666+01:00,63.7841923026372,11.4917850494385,Andel,7654,75,Leilighet,3,5351225,78
2,,2023-04-11T13:19:04.514+02:00,,,298351878,False,2023-11-08T10:29:40.666+01:00,63.7841923026372,11.4917850494385,Andel,7654,79,Leilighet,3,5651225,82
4,,2023-05-12T14:57:29.242+02:00,,,302905697,False,2023-05-12T15:14:26.447+02:00,63.8683954355379,11.2976641333725,Eier (Selveier),7670,139,Enebolig,5,5722342,143
4,,2023-05-12T14:57:29.242+02:00,,,302905697,False,2023-05-12T15:14:26.447+02:00,63.8683954355379,11.2976641333725,Eier (Selveier),7670,139,Enebolig,5,5422342,143
5,,2023-05-12T14:57:29.242+02:00,,,302905697,False,2023-05-12T15:14:26.447+02:00,63.8683954355379,11.2976641333725,Eier (Selveier),7670,182,Enebolig,6,7522342,185
3,,2023-05-12T19:38:19.107+02:00,Gul,A,302937603,False,2023-10-13T02:37:52.853+02:00,63.8754294348507,11.2630278381436,Andel,7670,92,Leilighet,,4585850,94
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,True,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,44,Leilighet,2,5101160,44
3,,2023-05-12T19:38:19.107+02:00,Gul,A,302937603,False,2023-10-13T02:37:52.853+02:00,63.8754294348507,11.2630278381436,Andel,7670,92,Leilighet,,4435850,94
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,True,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,44,Leilighet,2,4901640,44
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,44,Leilighet,2,5274573,44
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,True,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,44,Leilighet,2,5000920,44
0,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,True,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,33,Leilighet,1,3801256,33
2,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,True,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,64,Leilighet,3,7406640,64
4,,2023-05-12T20:47:06.178+02:00,Gul,A,302946109,False,2023-10-13T02:37:49.777+02:00,63.8754294348507,11.2630278381436,Andel,7670,133,Rekkehus,,5585850,163
4,,2023-05-12T20:47:06.178+02:00,Gul,A,302946109,False,2023-10-13T02:37:49.777+02:00,63.8754294348507,11.2630278381436,Andel,7670,132,Rekkehus,,5335850,161
3,,2023-04-12T17:58:47.510+02:00,,C,298558153,True,2023-11-08T08:23:40.763+01:00,59.4993766575034,10.2968272875715,Eier (Selveier),3084,96,Rekkehus,,4425880,101
2,,2022-11-13T17:47:23.570+01:00,,,280854300,False,2023-10-23T13:31:15.501+02:00,59.2421,10.4628,Eier (Selveier),3132,85,Leilighet,3,5814512,90
4,,2023-05-12T20:47:06.178+02:00,Gul,A,302946109,False,2023-10-13T02:37:49.777+02:00,63.8754294348507,11.2630278381436,Andel,7670,132,Rekkehus,,5885850,162
2,,2023-05-12T19:38:19.107+02:00,Gul,A,302937603,False,2023-10-13T02:37:52.853+02:00,63.8754294348507,11.2630278381436,Andel,7670,73,Leilighet,,3485850,75
3,,2023-04-12T17:58:47.510+02:00,,C,298558153,False,2023-11-08T08:23:40.763+01:00,59.4993766575034,10.2968272875715,Eier (Selveier),3084,96,Rekkehus,,4425880,101
3,,2023-04-12T17:58:47.510+02:00,,C,298558153,False,2023-11-08T08:23:40.763+01:00,59.4993766575034,10.2968272875715,Eier (Selveier),3084,109,Rekkehus,,5225880,115
3,,2022-11-13T17:47:23.570+01:00,,,280854300,False,2023-10-23T13:31:15.501+02:00,59.2421,10.4628,Eier (Selveier),3132,85,Leilighet,4,6814492,90
3,,2022-11-13T17:47:23.570+01:00,,,280854300,False,2023-10-23T13:31:15.501+02:00,59.2421,10.4628,Eier (Selveier),3132,86,Leilighet,4,6614512,90
3,,2022-11-13T17:47:23.570+01:00,,,280854300,False,2023-10-23T13:31:15.501+02:00,59.2421,10.4628,Eier (Selveier),3132,85,Leilighet,4,6214492,90
3,,2022-11-13T17:47:23.570+01:00,,,280854300,False,2023-10-23T13:31:15.501+02:00,59.2421,10.4628,Eier (Selveier),3132,86,Leilighet,4,6014512,90
